word,videos,full_path,exists,repo_video_path
I,i_5_i_aug_6.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_5_i_aug_6.mp4,True,data_subset/videos/i_5_i_aug_6.mp4
I,i_5_i_aug_7.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_5_i_aug_7.mp4,True,data_subset/videos/i_5_i_aug_7.mp4
I,i_3_i_aug_8.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_3_i_aug_8.mp4,True,data_subset/videos/i_3_i_aug_8.mp4
I,i_4_i_aug_9.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_4_i_aug_9.mp4,True,data_subset/videos/i_4_i_aug_9.mp4
I,i_4_i_aug_10.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_4_i_aug_10.mp4,True,data_subset/videos/i_4_i_aug_10.mp4
I,I_i_aug_11.mp4,data_raw\American-Sign-Language-Dataset\part_6\I_i_aug_11.mp4,True,data_subset/videos/I_i_aug_11.mp4
I,I_i_aug_12.mp4,data_raw\American-Sign-Language-Dataset\part_6\I_i_aug_12.mp4,True,data_subset/videos/I_i_aug_12.mp4
I,i_8_i_aug_13.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_8_i_aug_13.mp4,True,data_subset/videos/i_8_i_aug_13.mp4
I,i_5_i_aug_14.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_5_i_aug_14.mp4,True,data_subset/videos/i_5_i_aug_14.mp4
I,I • ASL Dictionary_i_aug_15.mp4,data_raw\American-Sign-Language-Dataset\part_6\I • ASL Dictionary_i_aug_15.mp4,True,data_subset/videos/I • ASL Dictionary_i_aug_15.mp4
I,i_5_i_aug_16.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_5_i_aug_16.mp4,True,data_subset/videos/i_5_i_aug_16.mp4
I,i_8_i_aug_17.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_8_i_aug_17.mp4,True,data_subset/videos/i_8_i_aug_17.mp4
I,i_6_i_aug_18.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_6_i_aug_18.mp4,True,data_subset/videos/i_6_i_aug_18.mp4
I,i_7_i_aug_19.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_7_i_aug_19.mp4,True,data_subset/videos/i_7_i_aug_19.mp4
I,i_1_i_aug_20.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_1_i_aug_20.mp4,True,data_subset/videos/i_1_i_aug_20.mp4
I,i_4_i_aug_21.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_4_i_aug_21.mp4,True,data_subset/videos/i_4_i_aug_21.mp4
I,i_7_i_aug_22.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_7_i_aug_22.mp4,True,data_subset/videos/i_7_i_aug_22.mp4
I,i_2_i_aug_23.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_2_i_aug_23.mp4,True,data_subset/videos/i_2_i_aug_23.mp4
I,i_8_i_aug_24.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_8_i_aug_24.mp4,True,data_subset/videos/i_8_i_aug_24.mp4
I,i_6_i_aug_25.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_6_i_aug_25.mp4,True,data_subset/videos/i_6_i_aug_25.mp4
I,i_8_i_aug_26.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_8_i_aug_26.mp4,True,data_subset/videos/i_8_i_aug_26.mp4
I,i_5_i_aug_27.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_5_i_aug_27.mp4,True,data_subset/videos/i_5_i_aug_27.mp4
I,i_8_i_aug_28.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_8_i_aug_28.mp4,True,data_subset/videos/i_8_i_aug_28.mp4
I,i_7_i_aug_29.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_7_i_aug_29.mp4,True,data_subset/videos/i_7_i_aug_29.mp4
I,i_3_i_aug_30.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_3_i_aug_30.mp4,True,data_subset/videos/i_3_i_aug_30.mp4
I,i_7_i_aug_31.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_7_i_aug_31.mp4,True,data_subset/videos/i_7_i_aug_31.mp4
I,i_7_i_aug_32.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_7_i_aug_32.mp4,True,data_subset/videos/i_7_i_aug_32.mp4
I,i_2_i_aug_33.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_2_i_aug_33.mp4,True,data_subset/videos/i_2_i_aug_33.mp4
I,I_i_aug_34.mp4,data_raw\American-Sign-Language-Dataset\part_6\I_i_aug_34.mp4,True,data_subset/videos/I_i_aug_34.mp4
I,i_2_i_aug_35.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_2_i_aug_35.mp4,True,data_subset/videos/i_2_i_aug_35.mp4
I,i_5_i_aug_36.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_5_i_aug_36.mp4,True,data_subset/videos/i_5_i_aug_36.mp4
I,i_4_i_aug_37.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_4_i_aug_37.mp4,True,data_subset/videos/i_4_i_aug_37.mp4
I,I_i_aug_38.mp4,data_raw\American-Sign-Language-Dataset\part_6\I_i_aug_38.mp4,True,data_subset/videos/I_i_aug_38.mp4
I,i_2_i_aug_39.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_2_i_aug_39.mp4,True,data_subset/videos/i_2_i_aug_39.mp4
GO,go_video_2.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_2.mp4,True,data_subset/videos/go_video_2.mp4
GO,go_video_49.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_49.mp4,True,data_subset/videos/go_video_49.mp4
GO,go_37.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_37.mp4,True,data_subset/videos/go_37.mp4
GO,go_8.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_8.mp4,True,data_subset/videos/go_8.mp4
GO,go_video_36.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_36.mp4,True,data_subset/videos/go_video_36.mp4
GO,go_video_44.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_44.mp4,True,data_subset/videos/go_video_44.mp4
GO,go_26.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_26.mp4,True,data_subset/videos/go_26.mp4
GO,go_video_38.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_38.mp4,True,data_subset/videos/go_video_38.mp4
GO,go_33.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_33.mp4,True,data_subset/videos/go_33.mp4
GO,go_video_17.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_17.mp4,True,data_subset/videos/go_video_17.mp4
GO,go_video_41.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_41.mp4,True,data_subset/videos/go_video_41.mp4
GO,go_video_29.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_29.mp4,True,data_subset/videos/go_video_29.mp4
GO,go_video_20.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_20.mp4,True,data_subset/videos/go_video_20.mp4
GO,go_video_25.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_25.mp4,True,data_subset/videos/go_video_25.mp4
GO,go_video_48.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_48.mp4,True,data_subset/videos/go_video_48.mp4
GO,go_video_27.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_27.mp4,True,data_subset/videos/go_video_27.mp4
GO,go_video_3.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_3.mp4,True,data_subset/videos/go_video_3.mp4
GO,go_video_30.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_30.mp4,True,data_subset/videos/go_video_30.mp4
GO,go_video_13.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_13.mp4,True,data_subset/videos/go_video_13.mp4
GO,go_video_50.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_50.mp4,True,data_subset/videos/go_video_50.mp4
GO,go_video_4.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_4.mp4,True,data_subset/videos/go_video_4.mp4
GO,go_video_6.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_6.mp4,True,data_subset/videos/go_video_6.mp4
GO,go_video_43.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_43.mp4,True,data_subset/videos/go_video_43.mp4
GO,go_video_40.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_40.mp4,True,data_subset/videos/go_video_40.mp4
GO,go_9.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_9.mp4,True,data_subset/videos/go_9.mp4
GO,go_video_34.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_34.mp4,True,data_subset/videos/go_video_34.mp4
GO,go_video_32.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_32.mp4,True,data_subset/videos/go_video_32.mp4
GO,go_video_23.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_23.mp4,True,data_subset/videos/go_video_23.mp4
GO,go_video_14.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_14.mp4,True,data_subset/videos/go_video_14.mp4
GO,go_24.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_24.mp4,True,data_subset/videos/go_24.mp4
GO,go_11.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_11.mp4,True,data_subset/videos/go_11.mp4
GO,go_video_47.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_47.mp4,True,data_subset/videos/go_video_47.mp4
GO,go_video_7.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_7.mp4,True,data_subset/videos/go_video_7.mp4
GO,go_video_21.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_21.mp4,True,data_subset/videos/go_video_21.mp4
GO,go_video_22.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_22.mp4,True,data_subset/videos/go_video_22.mp4
GO,go_video_37.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_37.mp4,True,data_subset/videos/go_video_37.mp4
GO,go_video_35.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_35.mp4,True,data_subset/videos/go_video_35.mp4
GO,go_video_33.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_33.mp4,True,data_subset/videos/go_video_33.mp4
GO,go_video_39.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_39.mp4,True,data_subset/videos/go_video_39.mp4
GO,go_video_45.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_45.mp4,True,data_subset/videos/go_video_45.mp4
GO,go_30.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_30.mp4,True,data_subset/videos/go_30.mp4
GO,go_39.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_39.mp4,True,data_subset/videos/go_39.mp4
GO,go_video_51.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_51.mp4,True,data_subset/videos/go_video_51.mp4
GO,go_10.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_10.mp4,True,data_subset/videos/go_10.mp4
GO,go_video_1.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_1.mp4,True,data_subset/videos/go_video_1.mp4
GO,go_video_0.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_0.mp4,True,data_subset/videos/go_video_0.mp4
GO,go_video_42.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_42.mp4,True,data_subset/videos/go_video_42.mp4
GO,go_video_5.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_5.mp4,True,data_subset/videos/go_video_5.mp4
GO,go_video_8.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_8.mp4,True,data_subset/videos/go_video_8.mp4
GO,go_video_28.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_28.mp4,True,data_subset/videos/go_video_28.mp4
GO,go_4.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_4.mp4,True,data_subset/videos/go_4.mp4
GO,go_video_9.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_9.mp4,True,data_subset/videos/go_video_9.mp4
GO,go_video_18.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_18.mp4,True,data_subset/videos/go_video_18.mp4
GO,go_video_11.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_11.mp4,True,data_subset/videos/go_video_11.mp4
GO,go_29.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_29.mp4,True,data_subset/videos/go_29.mp4
GO,go_video_15.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_15.mp4,True,data_subset/videos/go_video_15.mp4
GO,go_video_46.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_46.mp4,True,data_subset/videos/go_video_46.mp4
GO,go_video_24.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_24.mp4,True,data_subset/videos/go_video_24.mp4
GO,go_1.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_1.mp4,True,data_subset/videos/go_1.mp4
GO,go_video_26.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_26.mp4,True,data_subset/videos/go_video_26.mp4
GO,go_3.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_3.mp4,True,data_subset/videos/go_3.mp4
GO,go_video_10.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_10.mp4,True,data_subset/videos/go_video_10.mp4
GO,go_video_16.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_16.mp4,True,data_subset/videos/go_video_16.mp4
GO,go_video_31.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_31.mp4,True,data_subset/videos/go_video_31.mp4
GO,go_25.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_25.mp4,True,data_subset/videos/go_25.mp4
GO,go_video_12.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_12.mp4,True,data_subset/videos/go_video_12.mp4
GO,go_video_19.mp4,data_raw\American-Sign-Language-Dataset\part_8\go_video_19.mp4,True,data_subset/videos/go_video_19.mp4
GO,6413893522655711-GO.mp4,data_raw\American-Sign-Language-Dataset\part_4\6413893522655711-GO.mp4,True,data_subset/videos/6413893522655711-GO.mp4
GO,2290456408074184-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\2290456408074184-GO.mp4,True,data_subset/videos/2290456408074184-GO.mp4
GO,41579421019094553-GO.mp4,data_raw\American-Sign-Language-Dataset\part_3\41579421019094553-GO.mp4,True,data_subset/videos/41579421019094553-GO.mp4
GO,4795164850135014-GO.mp4,data_raw\American-Sign-Language-Dataset\part_3\4795164850135014-GO.mp4,True,data_subset/videos/4795164850135014-GO.mp4
GO,30544213991231106-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\30544213991231106-GO.mp4,True,data_subset/videos/30544213991231106-GO.mp4
GO,7813105619399183-GO.mp4,data_raw\American-Sign-Language-Dataset\part_5\7813105619399183-GO.mp4,True,data_subset/videos/7813105619399183-GO.mp4
GO,7819362494402429-GO.mp4,data_raw\American-Sign-Language-Dataset\part_5\7819362494402429-GO.mp4,True,data_subset/videos/7819362494402429-GO.mp4
GO,032373382598848366-GO.mp4,data_raw\American-Sign-Language-Dataset\part_1\032373382598848366-GO.mp4,True,data_subset/videos/032373382598848366-GO.mp4
GO,3702604002311216-GO.mp4,data_raw\American-Sign-Language-Dataset\part_3\3702604002311216-GO.mp4,True,data_subset/videos/3702604002311216-GO.mp4
GO,22762374635521176-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\22762374635521176-GO.mp4,True,data_subset/videos/22762374635521176-GO.mp4
GO,5587884729767747-GO.mp4,data_raw\American-Sign-Language-Dataset\part_4\5587884729767747-GO.mp4,True,data_subset/videos/5587884729767747-GO.mp4
GO,2791819246477536-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\2791819246477536-GO.mp4,True,data_subset/videos/2791819246477536-GO.mp4
GO,26737390960725627-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\26737390960725627-GO.mp4,True,data_subset/videos/26737390960725627-GO.mp4
GO,7642911134092343-seedGO.mp4,data_raw\American-Sign-Language-Dataset\part_5\7642911134092343-seedGO.mp4,True,data_subset/videos/7642911134092343-seedGO.mp4
GO,1917265918954878-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\1917265918954878-GO.mp4,True,data_subset/videos/1917265918954878-GO.mp4
GO,8187982746646938-GO.mp4,data_raw\American-Sign-Language-Dataset\part_5\8187982746646938-GO.mp4,True,data_subset/videos/8187982746646938-GO.mp4
GO,7701619196687932-GO.mp4,data_raw\American-Sign-Language-Dataset\part_5\7701619196687932-GO.mp4,True,data_subset/videos/7701619196687932-GO.mp4
GO,20492226110701672-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\20492226110701672-GO.mp4,True,data_subset/videos/20492226110701672-GO.mp4
GO,8354410716389704-GO.mp4,data_raw\American-Sign-Language-Dataset\part_5\8354410716389704-GO.mp4,True,data_subset/videos/8354410716389704-GO.mp4
GO,10496700688928162-GO.mp4,data_raw\American-Sign-Language-Dataset\part_1\10496700688928162-GO.mp4,True,data_subset/videos/10496700688928162-GO.mp4
GO,3904115149763827-GO.mp4,data_raw\American-Sign-Language-Dataset\part_3\3904115149763827-GO.mp4,True,data_subset/videos/3904115149763827-GO.mp4
GO,5363852654946244-GO.mp4,data_raw\American-Sign-Language-Dataset\part_3\5363852654946244-GO.mp4,True,data_subset/videos/5363852654946244-GO.mp4
GO,5446297670875129-GO.mp4,data_raw\American-Sign-Language-Dataset\part_4\5446297670875129-GO.mp4,True,data_subset/videos/5446297670875129-GO.mp4
GO,47175728440552755-GO.mp4,data_raw\American-Sign-Language-Dataset\part_3\47175728440552755-GO.mp4,True,data_subset/videos/47175728440552755-GO.mp4
GO,6721385997956766-GO.mp4,data_raw\American-Sign-Language-Dataset\part_4\6721385997956766-GO.mp4,True,data_subset/videos/6721385997956766-GO.mp4
GO,16923876012285466-GO.mp4,data_raw\American-Sign-Language-Dataset\part_1\16923876012285466-GO.mp4,True,data_subset/videos/16923876012285466-GO.mp4
GO,19195912453679753-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\19195912453679753-GO.mp4,True,data_subset/videos/19195912453679753-GO.mp4
GO,8834363279772663-GO.mp4,data_raw\American-Sign-Language-Dataset\part_5\8834363279772663-GO.mp4,True,data_subset/videos/8834363279772663-GO.mp4
GO,19142855644010948-GO.mp4,data_raw\American-Sign-Language-Dataset\part_2\19142855644010948-GO.mp4,True,data_subset/videos/19142855644010948-GO.mp4
GO,9981647509356435-GO.mp4,data_raw\American-Sign-Language-Dataset\part_6\9981647509356435-GO.mp4,True,data_subset/videos/9981647509356435-GO.mp4
GO,7100160952925088-GO.mp4,data_raw\American-Sign-Language-Dataset\part_4\7100160952925088-GO.mp4,True,data_subset/videos/7100160952925088-GO.mp4
NO,no_video_10.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_10.mp4,True,data_subset/videos/no_video_10.mp4
NO,no_15.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_15.mp4,True,data_subset/videos/no_15.mp4
NO,no_21.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_21.mp4,True,data_subset/videos/no_21.mp4
NO,no_1.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_1.mp4,True,data_subset/videos/no_1.mp4
NO,no_video_7.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_7.mp4,True,data_subset/videos/no_video_7.mp4
NO,no_video_9.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_9.mp4,True,data_subset/videos/no_video_9.mp4
NO,no_video_0.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_0.mp4,True,data_subset/videos/no_video_0.mp4
NO,no_19.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_19.mp4,True,data_subset/videos/no_19.mp4
NO,no_video_4.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_4.mp4,True,data_subset/videos/no_video_4.mp4
NO,no_video_13.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_13.mp4,True,data_subset/videos/no_video_13.mp4
NO,no_20.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_20.mp4,True,data_subset/videos/no_20.mp4
NO,no_video_8.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_8.mp4,True,data_subset/videos/no_video_8.mp4
NO,no_video_11.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_11.mp4,True,data_subset/videos/no_video_11.mp4
NO,no_video_3.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_3.mp4,True,data_subset/videos/no_video_3.mp4
NO,no_video_6.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_6.mp4,True,data_subset/videos/no_video_6.mp4
NO,no_10.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_10.mp4,True,data_subset/videos/no_10.mp4
NO,no_18.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_18.mp4,True,data_subset/videos/no_18.mp4
NO,no_12.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_12.mp4,True,data_subset/videos/no_12.mp4
NO,no_video_2.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_2.mp4,True,data_subset/videos/no_video_2.mp4
NO,no_23.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_23.mp4,True,data_subset/videos/no_23.mp4
NO,no_video_14.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_14.mp4,True,data_subset/videos/no_video_14.mp4
NO,no_video_12.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_12.mp4,True,data_subset/videos/no_video_12.mp4
NO,no_16.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_16.mp4,True,data_subset/videos/no_16.mp4
NO,no_video_5.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_5.mp4,True,data_subset/videos/no_video_5.mp4
NO,no_video_1.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_video_1.mp4,True,data_subset/videos/no_video_1.mp4
NO,no_9.mp4,data_raw\American-Sign-Language-Dataset\part_9\no_9.mp4,True,data_subset/videos/no_9.mp4
NO,5328649685588343-NO.mp4,data_raw\American-Sign-Language-Dataset\part_3\5328649685588343-NO.mp4,True,data_subset/videos/5328649685588343-NO.mp4
NO,8920807082520505-NO.mp4,data_raw\American-Sign-Language-Dataset\part_5\8920807082520505-NO.mp4,True,data_subset/videos/8920807082520505-NO.mp4
NO,9542027365188674-NO.mp4,data_raw\American-Sign-Language-Dataset\part_6\9542027365188674-NO.mp4,True,data_subset/videos/9542027365188674-NO.mp4
NO,46074251080029494-NO.mp4,data_raw\American-Sign-Language-Dataset\part_3\46074251080029494-NO.mp4,True,data_subset/videos/46074251080029494-NO.mp4
NO,2140134632834978-NO.mp4,data_raw\American-Sign-Language-Dataset\part_2\2140134632834978-NO.mp4,True,data_subset/videos/2140134632834978-NO.mp4
NO,2732741727030885-NO.mp4,data_raw\American-Sign-Language-Dataset\part_2\2732741727030885-NO.mp4,True,data_subset/videos/2732741727030885-NO.mp4
NO,9644130188424822-NO.mp4,data_raw\American-Sign-Language-Dataset\part_6\9644130188424822-NO.mp4,True,data_subset/videos/9644130188424822-NO.mp4
NO,9979731168048327-NO.mp4,data_raw\American-Sign-Language-Dataset\part_6\9979731168048327-NO.mp4,True,data_subset/videos/9979731168048327-NO.mp4
NO,09714329486323847-NO.mp4,data_raw\American-Sign-Language-Dataset\part_1\09714329486323847-NO.mp4,True,data_subset/videos/09714329486323847-NO.mp4
NO,7525332129995586-NO.mp4,data_raw\American-Sign-Language-Dataset\part_5\7525332129995586-NO.mp4,True,data_subset/videos/7525332129995586-NO.mp4
NO,8323715285073319-NO.mp4,data_raw\American-Sign-Language-Dataset\part_5\8323715285073319-NO.mp4,True,data_subset/videos/8323715285073319-NO.mp4
NO,3919396171653571-NO.mp4,data_raw\American-Sign-Language-Dataset\part_3\3919396171653571-NO.mp4,True,data_subset/videos/3919396171653571-NO.mp4
NO,370678413428154-NO.mp4,data_raw\American-Sign-Language-Dataset\part_3\370678413428154-NO.mp4,True,data_subset/videos/370678413428154-NO.mp4
NO,4656606080155459-NO.mp4,data_raw\American-Sign-Language-Dataset\part_3\4656606080155459-NO.mp4,True,data_subset/videos/4656606080155459-NO.mp4
NO,6645554412949413-NO.mp4,data_raw\American-Sign-Language-Dataset\part_4\6645554412949413-NO.mp4,True,data_subset/videos/6645554412949413-NO.mp4
NO,3247833356457248-NO.mp4,data_raw\American-Sign-Language-Dataset\part_2\3247833356457248-NO.mp4,True,data_subset/videos/3247833356457248-NO.mp4
NO,5082858473744953-NO.mp4,data_raw\American-Sign-Language-Dataset\part_3\5082858473744953-NO.mp4,True,data_subset/videos/5082858473744953-NO.mp4
NO,7973429116215278-NO.mp4,data_raw\American-Sign-Language-Dataset\part_5\7973429116215278-NO.mp4,True,data_subset/videos/7973429116215278-NO.mp4
NO,6901051427765104-NO.mp4,data_raw\American-Sign-Language-Dataset\part_4\6901051427765104-NO.mp4,True,data_subset/videos/6901051427765104-NO.mp4
NO,7932042062420475-NO.mp4,data_raw\American-Sign-Language-Dataset\part_5\7932042062420475-NO.mp4,True,data_subset/videos/7932042062420475-NO.mp4
NO,9616432008129339-NO.mp4,data_raw\American-Sign-Language-Dataset\part_6\9616432008129339-NO.mp4,True,data_subset/videos/9616432008129339-NO.mp4
NO,5278795760893484-NO.mp4,data_raw\American-Sign-Language-Dataset\part_3\5278795760893484-NO.mp4,True,data_subset/videos/5278795760893484-NO.mp4
